Empresa,Salario,Classe,Sede,Tamanho,Fundação,Tipo,Setor,Moeda,Valor_moeda
Involves,10000,Senior,"Rio de Janeiro, Brasil",2500,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
EDP,8500,Senior,"São Paulo, Brasil",7500,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Itaú Unibanco (Itaú BBA e Rede),12500,Senior,"São Paulo, Brasil",10000,1971.0,Empresa: privada,Serviços de saúde e hospitais,R$R$,1
Electro Medical Systems,10500,Senior,"São Paulo, Brasil",10000,1980.0,Empresa: capital aberto,Pesquisa e análise financeira,R$R$,1
Sicredi,10375,Senior,"Florianópolis, Brasil",350,2002.0,Empresa: privada,Soluções de software e redes corporativas,R$R$,1
Noverde,16083,Senior,"São José dos Campos, Brasil",25,2011.0,Empresa: privada,De US$ 1 a US$ 5 milhões,R$R$,1
GFT Group,25708,Senior,"São Paulo, Brasil",7500,1976.0,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
Gesto Saúde e Tecnologia,7166,Senior,"São Paulo, Brasil",125,2016.0,Empresa: privada,Empréstimos,R$R$,1
Observatório Nacional,16791,Senior,"São Paulo, Brasil",2500,2016.0,Empresa: privada,Serviços de TI,R$R$,1
Portocred,9833,Senior,"New York, NY",7500,1984.0,Subsidiária ou segmento de negócio,Consultoria,R$R$,1
Atlantico,5916,Senior,"Rio de Janeiro, Brasil",2500,1895.0,Empresa: privada,Operadoras de seguros,R$R$,1
Ipiranga,4458,Junior,"São Paulo, Brasil",10000,1911.0,Empresa: capital aberto (IBM),Serviços de TI,R$R$,1
PicPay,6833,Junior,"São Paulo, Brasil",125,2004.0,Empresa: privada,De US$ 1 a US$ 5 milhões,R$R$,1
Cargill,3041,Junior,"Uberlândia, Brasil",7500,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
